fname,label
k000002k.wav,Hip-Hop
k000005.wav,Hip-Hop
k000010.wav,Pop
k000140.wav,Folk
k000141.wav,Folk
k000148.wav,Experimental
k000182.wav,Rock
k000190.wav,Folk
k000193.wav,Folk
k000194.wav,Folk
k000197.wav,Folk
k000200.wav,Folk
k000203.wav,Folk
k000204.wav,Folk
k000207.wav,Folk
k000210.wav,Folk
k000211.wav,Folk
k000212.wav,Folk
k000213.wav,Pop
k000255.wav,Rock
k000256.wav,Rock
k000368.wav,Rock
k000424.wav,Experimental
k000459.wav,Rock
k000534.wav,Folk
k000540.wav,Folk
k000546.wav,Folk
k000574.wav,Rock
k000602.wav,Folk
k000615.wav,Experimental
k000620.wav,Folk
k000621.wav,Folk
k000625.wav,Folk
k000666.wav,International
k000667.wav,International
k000676.wav,Hip-Hop
k000690.wav,Rock
k000694.wav,Hip-Hop
k000695.wav,Hip-Hop
k000704.wav,International
k000705.wav,International
k000706.wav,International
k000707.wav,International
k000708.wav,International
k000709.wav,International
k000714.wav,Folk
k000715.wav,Folk
k000716.wav,Folk
k000718.wav,Folk
k000777.wav,Rock
k000814.wav,Folk
k000821.wav,Pop
k000822.wav,Pop
k000825.wav,Rock
k000853.wav,International
k000890.wav,Folk
k000892.wav,Folk
k000897.wav,Experimental
k000993.wav,Rock
k000995.wav,Experimental
k000997.wav,Experimental
k000998.wav,Experimental
k001039.wav,Rock
k001040.wav,Rock
k001066.wav,Experimental
k001069.wav,Experimental
k001073.wav,Experimental
k001075.wav,Experimental
k001082.wav,International
k001083.wav,Experimental
k001087.wav,Rock
k001102.wav,Rock
k001193.wav,Folk
k001195.wav,Folk
k001196.wav,Folk
k001197.wav,Folk
k001249.wav,Experimental
k001259.wav,Experimental
k001270.wav,Rock
k001276.wav,Experimental
k001277.wav,Experimental
k001278.wav,Experimental
k001417.wav,Rock
k001427.wav,Rock
k001443.wav,Experimental
k001510.wav,Experimental
k001544.wav,Folk
k001642.wav,Pop
k001644.wav,Pop
k001649.wav,Pop
k001661.wav,Pop
k001663.wav,Pop
k001666.wav,Pop
k001673.wav,Experimental
k001680.wav,International
k001681.wav,International
k001682.wav,International
k001683.wav,International
k001684.wav,International
k001685.wav,International
k001686.wav,International
k001687.wav,International
k001688.wav,International
k001689.wav,International
k001701.wav,Folk
k001702.wav,Folk
k001703.wav,Folk
k001704.wav,Folk
k001706.wav,Rock
k001720.wav,Rock
k001732.wav,Experimental
k001733.wav,Experimental
k001735.wav,Experimental
k001736.wav,Experimental
k001883.wav,Rock
k001891.wav,Rock
k001893.wav,Folk
k001924.wav,Folk
k001925.wav,Folk
k001929.wav,Experimental
k001930.wav,Rock
k002012.wav,Experimental
k002096.wav,Experimental
k002097.wav,Folk
k002099.wav,Pop
k003263.wav,Folk
k003264.wav,Folk
k003265.wav,Folk
k003266.wav,Folk
k003270.wav,Folk
k003271.wav,Folk
k003272.wav,Folk
k003273.wav,Folk
k003274.wav,Folk
k003492.wav,Rock
k003532.wav,Pop
k003533.wav,Pop
k003534.wav,Pop
k003535.wav,Pop
k003537.wav,Pop
k003538.wav,Pop
k003598.wav,Folk
k003624.wav,Rock
k003707.wav,Folk
k003708.wav,Folk
k003720.wav,Rock
k003721.wav,Rock
k003722.wav,Rock
k003724.wav,Rock
k003725.wav,Rock
k003761.wav,Rock
k003762.wav,Rock
k003763.wav,Rock
k003765.wav,Rock
k003766.wav,Rock
k003775.wav,International
k003776.wav,International
k003777.wav,International
k003778.wav,International
k003779.wav,International
k003832.wav,Folk
k003833.wav,Rock
k003840.wav,Rock
k003880.wav,Folk
k003895.wav,International
k003896.wav,International
k003904.wav,Folk
k003905.wav,Folk
k003906.wav,Folk
k003908.wav,Folk
k003909.wav,Folk
k003910.wav,Folk
k003911.wav,Folk
k003912.wav,Folk
k003913.wav,Folk
k003920.wav,Folk
k003921.wav,Folk
k003950.wav,Rock
k004013.wav,Folk
k004017.wav,Folk
k004022.wav,Rock
k004037.wav,Folk
k004066.wav,Folk
k004067.wav,Folk
k004068.wav,Folk
k004069.wav,Folk
k004070.wav,International
k004071.wav,International
k004072.wav,International
k004073.wav,International
k004074.wav,International
k004075.wav,International
k004076.wav,International
k004077.wav,International
k004078.wav,International
k004079.wav,International
k004080.wav,International
k004091.wav,International
k004092.wav,International
k004093.wav,International
